evidence_granularity,run_id,run_start_utc,run_end_utc,timezone,system,commit,source,query_or_partition,time_frame,date_created_window_utc,page_or_offset,requested_limit,requests,rows_returned,unique_provider_job_ids,within_page_duplicates,cross_page_duplicates,cross_query_duplicates,previously_seen_jobs,net_new_jobs_admitted,stop_reason,provider_reported_total,provider_quota_after_request,evidence_source,notes
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,active-jb union + active-ats,same filters WITHOUT title expression,not_recorded,2026-09-05T11:37:46Z -> 2026-09-06T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,jb=5633; ats=2708; total=8341,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,linkedin,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-04T11:37:46Z -> 2026-09-05T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,1159,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,wellfound,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-04T11:37:46Z -> 2026-09-05T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,30,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ycombinator,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-04T11:37:46Z -> 2026-09-05T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,12,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ats,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-04T11:37:46Z -> 2026-09-05T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,1161,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,active-jb union + active-ats,same filters WITHOUT title expression,not_recorded,2026-09-04T11:37:46Z -> 2026-09-05T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,jb=15278; ats=21774; total=37052,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,linkedin,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-03T11:37:46Z -> 2026-09-04T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,1266,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,wellfound,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-03T11:37:46Z -> 2026-09-04T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,28,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ycombinator,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-03T11:37:46Z -> 2026-09-04T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,10,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ats,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-03T11:37:46Z -> 2026-09-04T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,1076,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,active-jb union + active-ats,same filters WITHOUT title expression,not_recorded,2026-09-03T11:37:46Z -> 2026-09-04T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,jb=16827; ats=16118; total=32945,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,linkedin,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-02T11:37:46Z -> 2026-09-03T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,1437,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,wellfound,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-02T11:37:46Z -> 2026-09-03T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,30,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ycombinator,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-02T11:37:46Z -> 2026-09-03T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,9,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ats,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-02T11:37:46Z -> 2026-09-03T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,1108,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,active-jb union + active-ats,same filters WITHOUT title expression,not_recorded,2026-09-02T11:37:46Z -> 2026-09-03T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,jb=18355; ats=16711; total=35066,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,linkedin,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-01T11:37:46Z -> 2026-09-02T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,1571,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,wellfound,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-01T11:37:46Z -> 2026-09-02T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,28,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ycombinator,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-01T11:37:46Z -> 2026-09-02T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,7,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,ats,legacy title expression (4222 chars) + ICP filters,not_recorded,2026-09-01T11:37:46Z -> 2026-09-02T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,1291,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits; count endpoint
provider count (count endpoint),inventory probe 2026-09-06T11:37:46Z,2026-09-06T11:37:46Z,not_recorded,UTC,legacy measurement,not_recorded,active-jb union + active-ats,same filters WITHOUT title expression,not_recorded,2026-09-01T11:37:46Z -> 2026-09-02T11:37:46Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,jb=21306; ats=18968; total=40274,not_recorded,repo acceptance/evidence/20260906-maintenance/inventory_probe.json,0 job credits
provider count (count endpoint),capacity probe 2026-09-06,not_recorded,not_recorded,UTC,legacy measurement,not_recorded,LinkedIn,"LinkedIn + legacy title expression (4,222 chars)",not_recorded,24h window ending ~2026-09-06T08:30Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,361,not_recorded,repo acceptance/ACQUISITION_CAPACITY_2026-09-06.md section 2,Over the run's 5.3-day window the titled count returned HTTP 504 (count timed out)
provider count (count endpoint),capacity probe 2026-09-06,not_recorded,not_recorded,UTC,legacy measurement,not_recorded,LinkedIn,"LinkedIn, same firmographic filters, no title expression",not_recorded,24h window ending ~2026-09-06T08:30Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,5511,not_recorded,repo acceptance/ACQUISITION_CAPACITY_2026-09-06.md section 2,Over the run's 5.3-day window the titled count returned HTTP 504 (count timed out)
provider count (count endpoint),capacity probe 2026-09-06,not_recorded,not_recorded,UTC,legacy measurement,not_recorded,ATS,ATS + legacy title expression,not_recorded,24h window ending ~2026-09-06T08:30Z,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,not_recorded,520,not_recorded,repo acceptance/ACQUISITION_CAPACITY_2026-09-06.md section 2,Over the run's 5.3-day window the titled count returned HTTP 504 (count timed out)
