company_name,occurrences,role_buckets,sources,evidence_available,proposed_domain,confidence,safe_to_add_automatically,notes
ASU Preparatory Academy,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Cerence,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Trane Technologies,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Filevine,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
VendueTech,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Honu Services,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
PureCars,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Pigment,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Forge Performance Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Bluelight Consulting,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Armanino LLP,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
LCTCS,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Brainrider,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Roche,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Verdesian Life Sciences,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
KPA,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
College Board,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Cloudera,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"QAD, Inc.",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Medical Review Institute of America,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Marketplace Ministries, Inc.",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Miratech,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
DXC Technology,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Proofpoint,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Boulevard,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Clinician Nexus,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Unipesa,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Evotix,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
P&G Advisors,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
FamilyWell Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Mozilla,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Astreya,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
EnableComp,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Workday,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Meydenbauer Partners,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Hacken,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
FuseGlobal Partners,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Capgemini Technology Services,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Chickasaw Nation Industries, Inc.",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
samedi,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Public Partnerships LLC,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Arkansas Blue Cross,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
AlphaSense,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Аrctic7,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
AutoScale Ventures,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Flinker,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sophos,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
dell,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Unblu Inc.,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Keystone Agency Partners (KAP),1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Porch Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Neura Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Empower,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Crump Life Insurance Services,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Pendo,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Steampunk,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Correlation One,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Affirm,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Iterable,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Safeguard Global,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Applaudo Studios,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Motorola Solutions,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Integrated Dermatology,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
CRB Cunninghams,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
nove8,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Dutchie,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
NAMSA,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Destination Pet,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Fresh Prints,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Genuine Parts Company,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
MarketSource,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,intermediary/staffing - exclude
Cority,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Datavant,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Circle,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Fairway Independent Mortgage Corp.,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Provectus,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
BTG Pactual,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
InlandRCM,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Live Nation Entertainment,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
A-LIGN,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sanoma Learning,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Betting Hero,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Trackforce,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Pfizer,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Mainspring Energy,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Oakheed,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Pure PM,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Partner ESI,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
alx_africa,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
The Standard,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
MediaCo Holding,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Veeam Software,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Mactores,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Oregon Lottery,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
HubSpot,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
ProAg,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Jobbex IT,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Banyan Treatment Centers,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sprinklr,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
BrightSpring Health Services,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Worldwide Clinical Trials,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Motive,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
World Vision,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
LoanCare,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Binance,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Fivetran,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Mimecast,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Empat,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Gravity Global,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Accenture,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Precision Medicine Group,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Finance of America,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Creatunity LLC,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
MRI Software,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Advantage,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Mondelēz International,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
CARTO,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Vans,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Voya Financial,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Zeiders Enterprises, Inc.",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Bond Vet,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
BlackStone eIT,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Happy Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Infios,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Sybilla Technologies,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
GoCanvas,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Drivetrain,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Mood Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
"Ocular Therapeutix, Inc.",1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Genesys,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Blackbird Health,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Able,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
AmerisourceBergen,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Little Caesars,1,gtm_revenue,himalayas,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Canonical Ltd.,1,gtm_revenue,jobicy,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Double,1,gtm_revenue,jobicy,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Kazaar Fragrances,1,gtm_revenue,weworkremotely,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Mukti Switzerland,1,gtm_revenue,remoteok,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
Elockers.Com Pty Ltd,1,gtm_revenue,remoteok,aggregator_only,,name_only_no_evidence,no,"recognizable brand, NO safe domain evidence in artifact"
