company,domain,company_employee_count,company_industry,icp_status,role_bucket,hiring_manager_buckets,relevant_job_title,job_url,job_source,num_relevant_jobs_at_company,num_distinct_functions_at_company,apollo_people_search_attempted,candidate_people_returned,title_matched_candidates,person_match_attempts,candidate_rejected_reason,hm_failure_reason,final_disposition,notes
RoibyRoy,roibyroy.com,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,SEO Outreach Specialist,https://www.linkedin.com/jobs/view/seo-outreach-specialist-at-roibyroy-4449132158,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
"Ursus, Inc.",ursusinc.com,250,staffing & recruiting,PASS,customer_success,customer_success,Marketing Project Manager III,https://jobs.digitalhire.com/job-listing/opening/2R9zm8PSRIigpHIVeRslaf,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
ABCO Facility Maintenance,abcomaintenance.com,84,facilities services,PASS,engineering,engineering,Construction and Maintenance Project Manager (Remote),https://www.linkedin.com/jobs/view/construction-and-maintenance-project-manager-remote-at-abco-facility-maintenance-4450634191,,1,1,True,1,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
MARTIN Technologies - MARTIN Motorsports,haroldmartin.com,90,automotive,PASS,engineering,engineering,Operations Specialist,https://builtin.com/job/operations-specialist/10143361,,1,1,True,1,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
Kandi America,kandiamerica.com,28,automotive,PASS,customer_success,customer_success,HR & Administrative Specialist,https://www.linkedin.com/jobs/view/hr-administrative-specialist-at-kandi-america-4449661325,,1,1,True,1,0,0,UNVERIFIED_OFFICIAL_SOURCE,no_title_match,UNVERIFIED,
Pearl Abyss,pearlabyss.com,650,computer games,PASS,customer_success,customer_success,HR Coordinator,https://www.linkedin.com/jobs/view/hr-coordinator-at-pearl-abyss-america-4449311399,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Remote Cloud,remotetalentcloud.com,,information technology & services,NEEDS_CHECK,engineering,engineering,AI Training Specialist (Data Annotation),https://www.monster.com/job-openings/ai-training-specialist-data-annotation-atlanta-ga--2967e734-8f56-4785-8eb1-6478f6eae4d3,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
NY 411,ny411.com,,,NEEDS_CHECK,engineering,engineering,Founding Producer: Podcast Post-Production & Clips,https://www.jobleads.com/us/job/founding-producer-podcast-post-production-clips--new-york--ef011a5d8e1f83825ed9df639c47c1f6b,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
VCA West Los Angeles Animal Hospital,vcahospitals.com,95,veterinary,PASS,engineering,engineering,Internist,https://www.vcacareers.com/global/en/job/R-249483/Internist,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
Truly Good Foods,trulygoodfoods.com,58,food & beverages,PASS,customer_success,customer_success,Customer Success Lead: Grow & Retain Key Accounts,https://www.jobleads.com/us/job/customer-success-lead-grow-retain-key-accounts--upper-marlboro--e84284760c7fc75834b1d7c3127c9f348,,1,1,True,1,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
Topsort,topsort.com,160,information technology & services,PASS,gtm_revenue,gtm_revenue,"Account Executive Toppie, Brazil",https://job-boards.greenhouse.io/topsort/jobs/5217907008,ats_greenhouse,20,1,True,2,1,1,UNVERIFIED_OFFICIAL_SOURCE,attempted,UNVERIFIED,
OpusClip,opus.pro,160,information technology & services,PASS,gtm_revenue,gtm_revenue,AI Artist,https://jobs.ashbyhq.com/opusclip/eca25740-370c-48d0-a276-90e15587f8f2,ats_ashby,7,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
CFS,,,,NEEDS_CHECK,customer_support,customer_support,Bilingual Customer Service Representative,https://www.monster.com/job-openings/bilingual-customer-service-representative-hudson-oh--d7670930-8303-407b-93bd-245332e01f68,,4,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
CFS,,,,NEEDS_CHECK,finance,finance,Part Time AP Specialist,https://www.monster.com/job-openings/staff-accountant-middle-river-md--0be1fb6b-01fb-4de3-91c9-27645fd17a2b,,4,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Bright Vision Technologies,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,QA Automation Framework Engineer,https://www.linkedin.com/jobs/view/qa-automation-framework-engineer-at-bright-vision-technologies-4449626516,,4,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Bright Vision Technologies,,,,NEEDS_CHECK,engineering,data;engineering,Conversational AI Engineer,https://builtin.com/job/conversational-ai-engineer/10507378,,4,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
University of Pittsburgh,,,,NEEDS_CHECK,marketing,marketing,Email Marketing Specialist,https://jobs.womenforhire.com/job/usa/bairdford-pa/email-marketing-specialist-676885/,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
HiredBuddy,,,,NEEDS_CHECK,engineering,data,Database Administrator,https://www.linkedin.com/jobs/view/database-administrator-at-hiredbuddy-4448219603,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
"Innovative Refrigeration Systems, Inc.",,,,NEEDS_CHECK,marketing,marketing,Content Marketing Specialist,https://www.linkedin.com/jobs/view/content-marketing-specialist-at-innovative-refrigeration-systems-inc-4449994889,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
"American-Nurses-Association,-Inc",,,,NEEDS_CHECK,marketing,marketing,Digital Marketing Specialist,https://jobs.digitalhire.com/job-listing/opening/2D3r2tkfKLofcRlhwbS7Xg,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Community Options,,,,NEEDS_CHECK,people_hr,people_hr,Recruiting Coordinator,https://bebee.com/us/jobs/recruiting-coordinator-community-options-pottsville--ss-us-1a89qqv,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Center for Sleep and Wake Disorders,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Business Development Representative,https://bebee.com/us/jobs/business-development-representative-center-for-sleep-and-wake-disorders-mt-rainier--lensa-7428_26f7d4268891f34424a200eabaab3388f8b6c5073e39838fa301a4eb945cbab5,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
META,,,,NEEDS_CHECK,engineering,engineering,Conversational AI Specialist,https://ai-search.io/job-board/meta-conversational-ai-specialist-20250228,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
LVT,,,,NEEDS_CHECK,product,product,Technical Writer,https://startup.jobs/technical-writer-lvt-8921739,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
FIRSTLIGHT,,,,NEEDS_CHECK,engineering,data,Business Intelligence Analyst,https://www.jobtarget.com/jobs/jt-mcrww76szr/business-intelligence-analyst-portsmouth-new-hampshire,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
"Johnson & Johnson Services, Inc.",,,,NEEDS_CHECK,engineering,data;engineering,Data Science & AI Automation Lead,https://www.careers.jnj.com/he-il/jobs/r-092173/data-science-ai-automation-lead/,,4,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
"Johnson & Johnson Services, Inc.",,,,NEEDS_CHECK,operations,operations,Business Operations Analyst,https://www.careers.jnj.com/en/jobs/r-084487/business-operations-analyst/,,4,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Philip Morris International U.S.,,,,NEEDS_CHECK,marketing,marketing,Performance Marketing Sr Specialist,https://join.pmicareers.com/gb/en/job/28189/Performance-Marketing-Sr-Specialist,,3,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
GIBBON North America,,,,NEEDS_CHECK,marketing,marketing,"Performance Marketing Manager, EMEA",https://jobs.digitalhire.com/job-listing/opening/3oWm29LpRUi4YyNIl5XpOz,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Cocomint Inc.,,,,NEEDS_CHECK,marketing,marketing,Performance Marketing Associate,https://www.linkedin.com/jobs/view/performance-marketing-associate-at-cocomint-inc-4448565997,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Paired,,,,NEEDS_CHECK,marketing,marketing,"Video Editor for Real Estate Educator & Influencer (Remote, US-based)",https://jobgether.com/offer/6a74eedd490731f1e187ef19-video-editor-for-real-estate-educator-influencer-remote-us-based,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
College of Coastal Georgia,,,,NEEDS_CHECK,marketing,marketing,Graphic Designer,https://www.higheredjobs.com/Admin/details.cfm?JobCode=179520808&Title=Graphic%20Designer,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
"Serenity Info Tech, Inc.",,,,NEEDS_CHECK,engineering,engineering,Sr. React Frontend Developer local in MD or VA,https://haystackapp.io/jobs/0a18e106-404e-470c-bcf6-a2f66f226432,,3,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Cosmoquick,,,,NEEDS_CHECK,marketing,marketing,Senior Crm Marketing Specialist in Phoenix,https://cosmoquick.com/hire-experienced-in/phoenix/hire-experienced-crm-marketing-specialist,,3,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Cosmoquick,,,,NEEDS_CHECK,ecommerce,ecommerce,Part-Time Data Catalog Specialist Jobs in Baton Rouge,https://www.cosmoquick.com/part-time-jobs-in/baton-rouge/part-time-data-catalog-specialist,,3,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Jobgether,,,,NEEDS_CHECK,customer_success,customer_success,Product Marketing Manager (Remote Healthcare),https://jobs.digitalhire.com/job-listing/opening/2h47NCFAT49ASXiHMCUWBd,,3,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Jobgether,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,"Mid-Enterprise Account Executive, Central",https://bebee.com/us/jobs/mid-enterprise-account-executive-central-jobgether-washington--lensa-2365_c9c63f572595642fb92ed4b4f806c4dc35eb39c988eddbc9aa22b1ba3c5ebfa3,,3,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
HII's Mission Technologies division,,,,NEEDS_CHECK,engineering,engineering,DSCA Full Stack Front-End Developer Mid (Software Development Analyst) - 29702,"https://jobs.hii-tsd.com/job/Arlington,-VA-DSCA-Full-Stack-Front-End-Developer-Mid-(Software-Development-Analyst)-29232-1-Remo/1416557400/",,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Green Bay Packaging - Corporate,,,,NEEDS_CHECK,engineering,data,Business Intelligence Analyst 2,https://jobs.womenforhire.com/job/usa/de-pere-wi/business-intelligence-analyst-2-017093/,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
State of South Carolina,,,,NEEDS_CHECK,operations,operations,Executive Assistant - State Office,https://www.governmentjobs.com/jobs/5432469-0/executive-assistant-state-office,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Minnesota Department of Human Services,,,,NEEDS_CHECK,people_hr,people_hr,"Classification & Compensation Analyst - Human Resources Specialist 1, 2 or 3",https://www.linkedin.com/jobs/view/classification-compensation-analyst-human-resources-specialist-1-2-or-3-at-minnesota-department-of-human-services-4448971429,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
"Unique Industries, Inc.",,,,NEEDS_CHECK,people_hr,people_hr,Recruiter/Sr Recruiter,https://www.indeed.com/viewjob?jk=8cf0ed9798812f7d,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
4M Building Solutions,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,"[""Account Manager"",""Account Manager""]",https://www.monster.com/job-openings/-account-manager-account-manager-faribault-mn--c914b54e-bb93-4081-98a2-1e6e6a8d6f24,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
FMG,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Sales Development Representative (Remote),https://www.linkedin.com/jobs/view/sales-development-representative-remote-at-fmg-4448901734,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Bjak,,,,NEEDS_CHECK,marketing,marketing,Senior Motion Designer,"https://www.ziprecruiter.com/c/Bjak/Job/Remote-Senior-Motion-Designer/-in-Basildon,GBR?jid=a2ecfebac1bd4a2b",,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
HT Travels,,,,NEEDS_CHECK,customer_support,customer_support,Customer Experience Specialist (Remote),https://www.linkedin.com/jobs/view/customer-experience-specialist-remote-at-ht-travels-4447631364,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
CARROLL INDEPENDENT FUEL COMPANY,,,,NEEDS_CHECK,customer_support,customer_support,Customer Service Representative,https://www.paycomonline.net/v4/ats/web.php/portal/20F68CC121899E53DA792AF78C2E224A/jobs/59080,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
MCI Careers,,,,NEEDS_CHECK,customer_support,customer_support,Work at Home Customer Service Agent (Full-Time & Part-Time) (FL),https://careers-mci.icims.com/jobs/48148/work-at-home-customer-service-agent-%28full-time-%26-part-time%29-%28fl%29/job,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,,,,NEEDS_CHECK,engineering,data,Data Analyst (AI Assurance Lead),https://www.usajobs.gov/job/878936900,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
GSA,,,,NEEDS_CHECK,engineering,data,Data Scientist - Office of Governmentwide Policy,https://www.linkedin.com/jobs/view/data-scientist-office-of-governmentwide-policy-at-gsa-4450631608,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
DLA Information Operations J6,,,,NEEDS_CHECK,engineering,data,Data Scientist (ARTIFICIAL INTELLIGENCE/MACHINE LEARNING),https://www.usajobs.gov/job/879505000,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
State of Washington,,,,NEEDS_CHECK,engineering,data,"Data Scientist, Public Health Data Linkage (DSIS 3) DOH8949",https://www.governmentjobs.com/jobs/5434367-0/data-scientist-public-health-data-linkage-dsis-3-doh8949,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
VA Maine Healthcare System,,,,NEEDS_CHECK,finance,finance,Supervisory Accountant,https://www.usajobs.gov/job/879567300,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
City of Annapolis (MD),,,,NEEDS_CHECK,finance,finance,Accountant II (Payroll Administrator) (N13),https://www.governmentjobs.com/jobs/5430230-0/accountant-ii-payroll-administrator-n13,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Dobbs Defense Solutions,,,,NEEDS_CHECK,finance,finance,Junior Accounts Payable Specialist,https://www.linkedin.com/jobs/view/junior-accounts-payable-specialist-at-dobbs-defense-solutions-4448012583,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
ACY Yachts,,,,NEEDS_CHECK,finance,finance,Bookkeeper - Part-time,https://bebee.com/us/jobs/bookkeeper-part-time-acy-yachts-highland-beach--lensa-7428_68d82bb9972dd7257edc947bb8d2c809ebe9f2c177fd4aa3bc597559b8acda27,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
CC-NAF-W6BD20 IMCOM FMWR HQ,,,,NEEDS_CHECK,finance,finance,"Financial Analyst, NF-04",https://www.usajobs.gov/job/879151200,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Commercial Express HVAC,,,,NEEDS_CHECK,finance,finance,Billing Specialist - Part Time,https://bebee.com/us/jobs/billing-specialist-part-time-commercial-express-hvac-occoquan--lifeworq-52afb30e-8176-46d1-af0f-eb33d55b5a91,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
job,,,,NEEDS_CHECK,operations,operations,Virtual Assistant(entry Level) job,https://bebee.com/us/jobs/virtual-assistantentry-level-job-job-fargo--ss-us-1gll1,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
SkillersZone LLC,,,,NEEDS_CHECK,operations,operations,Data Entry Specialist (Remote),https://www.career.com/job/skillerszone-llc/data-entry-specialist-remote/j202604012106129118842,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Covetrus North America LLC,,,,NEEDS_CHECK,engineering,engineering,Associate Technical Operations Specialist,https://startup.jobs/associate-technical-operations-specialist-covetrus-north-america-llc-8916081,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
7-ELEVEN,7-eleven.com,,,NEEDS_CHECK,gtm_revenue,partnerships,Digital Partnerships Manager,https://careers.7-eleven.com/job/irving/digital-partnerships-manager/45445/98829281056,,1,1,True,0,0,0,UNVERIFIED_OFFICIAL_SOURCE,zero_apollo_people,UNVERIFIED,
POLITICO,,,,NEEDS_CHECK,marketing,marketing,Growth Marketing Manager,https://www.linkedin.com/jobs/view/growth-marketing-manager-at-politico-4438016183,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
NineTwoThree AI Studio,,,,NEEDS_CHECK,engineering,engineering,AI Automations Product Engineer,https://www.linkedin.com/jobs/view/ai-automations-product-engineer-at-ninetwothree-ai-studio-4449910009,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Schneider Electric,,,,NEEDS_CHECK,customer_support,customer_support,Customer Success Coordinator,https://www.linkedin.com/jobs/view/customer-success-coordinator-at-schneider-electric-4450020024,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
NVIDIA,,,,NEEDS_CHECK,engineering,engineering,Senior Agentic AI For Data Science Applied Researcher,https://www.linkedin.com/jobs/view/senior-agentic-ai-for-data-science-applied-researcher-at-nvidia-4448262440,,3,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
NVIDIA,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Senior AI Systems and Algorithms Engineer,https://himalayas.app/companies/nvidia/jobs/senior-ai-systems-and-algorithms-engineer,himalayas,3,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
VTG,,,,NEEDS_CHECK,operations,operations,Operations Support Analyst,https://careers.vtgdefense.com/jobs/8281?lang=en-us,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Howard County Public School System,,,,NEEDS_CHECK,people_hr,people_hr,"Analyst II, Human Resources, Classification and Compensation",https://hcpss.wd1.myworkdayjobs.com/hcpss/job/Central-Office/Analyst-II--Human-Resources--Classification-and-Compensation_R0003858,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
HP,,,,NEEDS_CHECK,customer_support,customer_support,Inside Sales Account Representative,https://apply.hp.com/careers/job/43597738?hl=ko&domain=hp.com,,2,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
SURVICE Engineering Company,,,,NEEDS_CHECK,engineering,engineering,Mid-Level Full Stack Software Developer,https://survice.applicantpro.com/jobs/4165202,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
CWILL,,,,NEEDS_CHECK,customer_success,customer_success,"Part-Time Writer - Sales, CSM & Web Copy",https://www.linkedin.com/jobs/view/part-time-writer-sales-csm-web-copy-at-cwill-4450672740,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Amalie Oil Company,,,,NEEDS_CHECK,people_hr,people_hr,Benefits Specialist (HR),https://www.linkedin.com/jobs/view/benefits-specialist-hr-at-amalie-oil-company-4449697369,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
"PEG, LLC",,,,NEEDS_CHECK,people_hr,people_hr,"Human Resources Coordinator Job at PEG, LLC in Fairfax",https://www.recruit.net/job/human-resources-coordinator-at-peg-jobs/08C43AEDE637A6E1,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
RISE Network,,,,NEEDS_CHECK,customer_support,customer_support,Talent Acquisition Associate,https://www.linkedin.com/jobs/view/talent-acquisition-associate-at-rise-network-4446683138,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Sam's Club,,,,NEEDS_CHECK,customer_support,customer_support,(USA) Club Enablement Lead,https://www.linkedin.com/jobs/view/usa-club-enablement-lead-at-sam-s-club-4448949061,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Philadelphia Insurance Companies,,,,NEEDS_CHECK,customer_support,customer_support,Collector Insurance Specialist - Remote,https://www.linkedin.com/jobs/view/collector-insurance-specialist-remote-at-philadelphia-insurance-companies-4448464939,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Cherry Bekaert,,,,NEEDS_CHECK,engineering,engineering,AI Prompt and Skills Engineer,https://www.linkedin.com/jobs/view/ai-prompt-and-skills-engineer-at-cherry-bekaert-4422344380,,2,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Cherry Bekaert,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Manager - Government Contractor Advisory,https://himalayas.app/companies/cherry-bekaert/jobs/manager-government-contractor-advisory,himalayas,2,2,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
IONOS,,,,NEEDS_CHECK,customer_success,customer_success,Retention & Lifecycle Manager (Marketing),https://www.linkedin.com/jobs/view/retention-lifecycle-manager-marketing-at-ionos-4450287492,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Baylor College of Medicine,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,"Coordinator, Business Operations (Part-Time)",https://www.linkedin.com/jobs/view/coordinator-business-operations-part-time-at-baylor-college-of-medicine-4449304406,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
CROSSMEDIA,,,,NEEDS_CHECK,engineering,engineering,"Project Manager, Technology",https://www.linkedin.com/jobs/view/project-manager-technology-at-crossmedia-4449935235,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
INEOS,,,,NEEDS_CHECK,customer_success,customer_success,HRIS Analyst,https://www.linkedin.com/jobs/view/hris-analyst-at-ineos-4449469004,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Cox Communications,,,,NEEDS_CHECK,engineering,engineering,Conversational AI Solution Architect,https://ai-search.io/job-board/cox-communications-conversational-ai-solution-architect-20250211,,1,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
9025 CVS Shared Services Resources LLC,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Advanced Practice Provider,https://cvshealth.wd1.myworkdayjobs.com/job/00531---CVS-Albany-LLC/Family-Nurse-Practitioner_R0952142,ats_workday,238,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
NY_SPHP27 Samaritan Hospital,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Acute Care RN-Medical Unit Registered Nurse,https://trinityhealth.wd1.myworkdayjobs.com/job/Mercy-Medical-Center---Clinton-Iowa/Nutrition-Hospitality-Associate-FT-Days_00681065,ats_workday,231,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
UM01 University of Maryland College Park (UMCP),,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,ARLIS Full Stack Software Engineer,https://umd.wd1.myworkdayjobs.com/job/University-of-Maryland-College-Park/Post-Doctoral-Associate_JR104578,ats_workday,156,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
"4515 Industrial Metrology Solutions, LLC",,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,5-Axis CNC Programmer,https://sandvik.wd3.myworkdayjobs.com/job/USA-GA-Smyrna/Fleet-Analyst--Parts---Services--Elko---NV_R0095615,ats_workday,118,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Phillips Corporation,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Additive Sales Engineer - Florida,https://apply.workable.com/j/304A0DE4D1,ats_workable,24,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Lifelancer,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Consultant - Integration,https://himalayas.app/companies/lifelancer/jobs/product-leader-data,himalayas,12,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Mindrift,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,"AI Evaluation Engineer (Python, QA or Security)",https://himalayas.app/companies/mindrift/jobs/chatbot-developer-whatsapp-telegram-discord-freelance-2723155120,himalayas,11,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
Akamai Technologies,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,Account Executive II,https://himalayas.app/companies/akamai-technologies/jobs/senior-enterprise-security-architect,himalayas,9,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
ServiceNow,,,,NEEDS_CHECK,gtm_revenue,gtm_revenue,"Dir, Sales, Canada (Armis)",https://himalayas.app/companies/servicenow/jobs/enterprise-account-exec-commercial-financial-services-armis,himalayas,6,1,False,,,0,UNVERIFIED_OFFICIAL_SOURCE,no_search_domain,UNVERIFIED,
